Focus,Tieni gli occhi sulle stelle e i piedi per terra.,Theodore Roosevelt
Focus,La direzione è più importante della velocità.,Anonimo
Focus,Non puoi colpire un bersaglio che non vedi.,Zig Ziglar
Focus,Il guerriero di successo è un uomo medio con un focus simile al laser.,Bruce Lee
Focus,Meno distrazioni, più azioni.,Antonio Giancani
Mindset,Impara le regole del gioco come un professionista, così puoi infrangerle come un artista.,Pablo Picasso
Mindset,Non limitare le tue sfide, sfida i tuoi limiti.,Anonimo
Mindset,Se vuoi volare, devi rinunciare alle cose che ti pesano.,Toni Morrison
Mindset,Il coraggio non è l'assenza di paura, ma il trionfo su di essa.,Nelson Mandela
Mindset,Il tuo tempo è limitato, non sprecarlo vivendo la vita di qualcun altro.,Steve Jobs
Vendita,Ogni cliente è una porta verso un nuovo mondo.,Antonio Giancani
Vendita,La gente non vuole comprare un trapano da 5mm, vuole un buco da 5mm.,Theodore Levitt
Vendita,Il rifiuto è solo un passo verso il successo.,Bo Bennett
Vendita,Vendi il problema che risolvi, non il prodotto.,Anonimo
Vendita,Nell'immobiliare non conta l'immobile, conta la persona.,Antonio Giancani
Disciplina,La disciplina è scegliere tra ciò che vuoi ora e ciò che vuoi di più.,Abraham Lincoln
Disciplina,L'autodisciplina inizia con il controllo dei tuoi pensieri.,Napoleon Hill
Disciplina,Svegliati con determinazione, vai a letto con soddisfazione.,George Lorimer
Disciplina,Nessuna scusa. Solo risultati.,Antonio Giancani
Disciplina,La costanza è la chiave che apre la serratura del successo.,Anonimo
Business,Il capitale più importante che hai sei tu stesso.,Warren Buffett
Business,L'innovazione distingue un leader da un follower.,Steve Jobs
Business,Nel business come nella vita, chi non risica non rosica.,Proverbio
Business,Costruisci il tuo impero un mattone alla volta.,Antonio Giancani
Business,Il successo è un viaggio, non una destinazione.,Ben Sweetland
Mindset,Cadi sette volte, rialzati otto.,Proverbio Giapponese
Mindset,La pazienza è amara, ma il suo frutto è dolce.,Jean-Jacques Rousseau
Mindset,Chi non ha coraggio di osare non avrà nulla.,Antonio Giancani
Mindset,Sii padrone della tua mente o lei sarà padrona di te.,Buddha
Mindset,Il successo è la migliore vendetta.,Kanye West
Vendita,La trattativa inizia quando il cliente dice NO.,Antonio Giancani
Vendita,Fai in modo che comprare sia facile.,Anonimo
Vendita,Un bravo venditore ha la memoria corta per i rifiuti.,Anonimo
Vendita,L'entusiasmo è contagioso. Inizia tu l'epidemia.,Anonimo
Vendita,Vendi con onestà e guadagnerai per sempre.,Antonio Giancani
Disciplina,L'azione cura la paura.,Anonimo
Disciplina,Non aspettare che le condizioni siano perfette per iniziare.,Anonimo
Disciplina,Il talento è un dono, ma il carattere è una scelta.,John C. Maxwell
Disciplina,La grandezza nasce dai dettagli.,Antonio Giancani
Disciplina,Chi si ferma è perduto.,Proverbio
Business,I soldi amano la velocità.,Joe Vitale
Business,Non lavorare per i soldi, fai lavorare i soldi per te.,Robert Kiyosaki
Business,Il miglior investimento che puoi fare è su te stesso.,Warren Buffett
Business,Il network è il tuo net worth.,Anonimo
Business,La tua reputazione arriva nella stanza prima di te.,Antonio Giancani
Focus,Sii presente. È l'unico momento che hai.,Anonimo
Focus,Occhi sull'obiettivo, mente sulla strategia.,Antonio Giancani
Focus,Non lasciare che il rumore delle opinioni altrui soffochi la tua voce interiore.,Steve Jobs
Focus,La semplicità è la massima raffinatezza.,Leonardo da Vinci
Focus,Fai una cosa alla volta e falla meglio di chiunque altro.,Anonimo
Mindset,La tua vita cambia nel momento in cui prendi una decisione nuova e congruente.,Tony Robbins
Mindset,Non è forte chi non cade, ma chi cadendo ha la forza di rialzarsi.,Jim Morrison
Mindset,Il fallimento non è l'opposto del successo, è parte del successo.,Arianna Huffington
Mindset,Sii affamato, sii folle.,Steve Jobs
Mindset,La mente è tutto. Ciò che pensi, diventi.,Buddha
Mindset,Non permettere al rumore delle opinioni altrui di soffocare la tua voce interiore.,Steve Jobs
Mindset,Il segreto del cambiamento è concentrare tutta la tua energia non nel combattere il vecchio, ma nel costruire il nuovo.,Socrate
Mindset,Fai quello che puoi, con quello che hai, nel posto in cui sei.,Theodore Roosevelt
Mindset,La vita inizia alla fine della tua zona di comfort.,Neale Donald Walsch
Mindset,Se vuoi qualcosa che non hai mai avuto, devi fare qualcosa che non hai mai fatto.,Thomas Jefferson
Mindset,Non abbassare i tuoi standard per nessuno.,Antonio Giancani
Mindset,Il successo è la capacità di passare da un fallimento all'altro senza perdere l'entusiasmo.,Winston Churchill
Mindset,L'unico limite alla nostra realizzazione di domani saranno i nostri dubbi di oggi.,Franklin D. Roosevelt
Mindset,Agisci come se quel che fai facesse la differenza. La fa.,William James
Mindset,Credi di potercela fare e sei già a metà strada.,Theodore Roosevelt
Mindset,Il futuro appartiene a coloro che credono nella bellezza dei propri sogni.,Eleanor Roosevelt
Mindset,Non sognare la tua vita, vivi i tuoi sogni.,Antonio Giancani
Mindset,La perfezione non esiste, ma l'eccellenza sì.,Anonimo
Mindset,Sii il CEO della tua vita.,Antonio Giancani
Mindset,Il successo non bussa alla porta, devi sfondarla.,Anonimo
Vendita,I grandi venditori sono creatori di relazioni, non semplici prenditori di ordini.,Brian Tracy
Vendita,Ogni vendita ha cinque ostacoli: nessun bisogno, nessun soldo, nessuna fretta, nessun desiderio, nessuna fiducia.,Zig Ziglar
Vendita,La vendita inizia quando il cliente dice NO.,Antonio Giancani
Vendita,Non vendere caratteristiche, vendi benefici.,Anonimo
Vendita,Le persone non comprano per motivi logici, ma per motivi emotivi.,Zig Ziglar
Vendita,Il tuo sorriso è il tuo logo, la tua personalità è il tuo biglietto da visita.,Jay Danzie
Vendita,Tratta il cliente come se fossi tu.,Antonio Giancani
Vendita,La qualità della tua vita è la qualità delle tue comunicazioni.,Tony Robbins
Vendita,Vendere è servire.,Anonimo
Vendita,Se non credi nel tuo prezzo, non lo farà nemmeno il cliente.,Antonio Giancani
Vendita,Il cliente ha sempre ragione... finché non sbaglia l'investimento.,Antonio Giancani
Vendita,Non cercare clienti per i tuoi prodotti, cerca prodotti per i tuoi clienti.,Seth Godin
Vendita,La negoziazione è l'arte di lasciare che l'altro ottenga ciò che vuole, alle tue condizioni.,Anonimo
Vendita,Un affare è buono solo se è buono per entrambe le parti.,Antonio Giancani
Immobiliare,Non aspettare per comprare casa. Compra casa e aspetta.,Will Rogers
Immobiliare,I proprietari terrieri si arricchiscono mentre dormono.,John Stuart Mill
Immobiliare,Il miglior investimento sulla terra è la terra.,Louis Glickman
Immobiliare,Comprare casa è la migliore polizza assicurativa che esista.,Antonio Giancani
Immobiliare,Il mattone non tradisce mai.,Proverbio
Immobiliare,Non vendiamo metri quadri, vendiamo futuro.,Antonio Giancani
Immobiliare,La casa è dove inizia la tua storia.,Anonimo
Immobiliare,Investire nel mattone è investire nella stabilità.,Antonio Giancani
Immobiliare,Il prezzo si dimentica, la qualità rimane.,Aldo Gucci
Immobiliare,Ogni casa ha un'anima, il mio lavoro è farla parlare.,Antonio Giancani
Business,Il business è come una carriola: se non la spingi, non va.,Proverbio
Business,Non puoi gestire ciò che non puoi misurare.,Peter Drucker
Business,Il fatturato è vanità, il profitto è sanità.,Anonimo
Business,Circondati solo di persone che ti porteranno più in alto.,Oprah Winfrey
Business,L'unico modo per fare un ottimo lavoro è amare quello che fai.,Steve Jobs
Business,Il successo lascia tracce.,Tony Robbins
Business,Non aver paura di rinunciare al buono per puntare all'ottimo.,John D. Rockefeller
Business,Nel business, o ti evolvi o ti estingui.,Antonio Giancani
Business,Le idee non valgono nulla. L'esecuzione è tutto.,Antonio Giancani
Business,Il rischio viene dal non sapere cosa stai facendo.,Warren Buffett
Business,La reputazione impiega vent'anni a costruirsi e cinque minuti a rovinarsi.,Warren Buffett
Business,Se non ti piace dove sei, spostati. Non sei un albero.,Jim Rohn
Disciplina,La motivazione è ciò che ti fa partire. L'abitudine è ciò che ti fa andare avanti.,Jim Ryun
Disciplina,La disciplina è fare ciò che deve essere fatto, anche se non vuoi farlo.,Anonimo
Disciplina,Il successo non è un evento, è una mentalità.,Antonio Giancani
Disciplina,Lavora duro in silenzio, lascia che il successo faccia rumore.,Frank Ocean
Disciplina,Non ci sono segreti per il successo. È il risultato di preparazione, duro lavoro e apprendimento dai fallimenti.,Colin Powell
Disciplina,Oggi farò ciò che gli altri non faranno, così domani potrò fare ciò che gli altri non potranno.,Jerry Rice
Disciplina,La pigrizia è la ruggine dell'anima.,Antonio Giancani
Disciplina,Non fermarti quando sei stanco, fermati quando hai finito.,Anonimo
Disciplina,Il talento senza disciplina è come una macchina senza benzina.,Antonio Giancani
Disciplina,La procrastinazione è la ladra del tempo.,Edward Young
Focus,Non puoi attraversare il mare semplicemente stando fermo e fissando l'acqua.,Rabindranath Tagore
Focus,Rimani concentrato. Vai avanti.,Anonimo
Focus,La direzione è più importante della velocità.,Anonimo
Focus,Sii selettivo nelle tue battaglie.,Antonio Giancani
Focus,Dove va il focus, scorre l'energia.,Tony Robbins
Focus,Un uomo che osa sprecare un'ora del suo tempo non ha scoperto il valore della vita.,Charles Darwin
Focus,Meno distrazioni, più azione.,Antonio Giancani
Focus,Il multitasking è l'arte di incasinare più cose contemporaneamente.,Anonimo
Focus,Tieni gli occhi sull'obiettivo, non sugli ostacoli.,Antonio Giancani
Focus,La chiarezza porta al potere.,Tony Robbins
